model,model_label,condition,accuracy,accuracy_drop_pct,macro_f1,macro_f1_drop_pct
logistic_regression,Logistic Regression,low_snr,0.0909090909090909,78.8583509513742,0.0151515151515151,96.4704386226948
logistic_regression,Logistic Regression,narrowband_jam,0.0909090909090909,78.8583509513742,0.0151515151515151,96.4704386226948
logistic_regression,Logistic Regression,broadband_jam,0.0909090909090909,78.8583509513742,0.0151515151515151,96.4704386226948
logistic_regression,Logistic Regression,frequency_offset,0.0909090909090909,78.8583509513742,0.0151515151515151,96.4704386226948
logistic_regression,Logistic Regression,multipath,0.0909090909090909,78.8583509513742,0.0151515151515151,96.4704386226948
logistic_regression,Logistic Regression,impulsive_noise,0.0890909090909091,79.28118393234672,0.0187432587841168,95.6337381689092
random_forest,Random Forest,low_snr,0.1272727272727272,71.85929648241206,0.0865528247027217,81.19592024237693
random_forest,Random Forest,narrowband_jam,0.0909090909090909,79.89949748743717,0.0151515151515151,96.70824955353577
random_forest,Random Forest,broadband_jam,0.1445454545454545,68.04020100502512,0.1032493976182974,77.56849745332516
random_forest,Random Forest,frequency_offset,0.0986363636363636,78.19095477386935,0.0538025820742531,88.3110915447858
random_forest,Random Forest,multipath,0.155,65.7286432160804,0.1011163985302166,78.03190329955801
random_forest,Random Forest,impulsive_noise,0.0981818181818181,78.29145728643216,0.063477663400529,86.2091266286129
rbf_svm,RBF-SVM,low_snr,0.0909090909090909,80.03992015968063,0.0151515151515151,96.77625368619856
rbf_svm,RBF-SVM,narrowband_jam,0.0909090909090909,80.03992015968063,0.0151515151515151,96.77625368619856
rbf_svm,RBF-SVM,broadband_jam,0.0909090909090909,80.03992015968063,0.0151515151515151,96.77625368619856
rbf_svm,RBF-SVM,frequency_offset,0.0909090909090909,80.03992015968063,0.0151515151515151,96.77625368619856
rbf_svm,RBF-SVM,multipath,0.0909090909090909,80.03992015968063,0.0151515151515151,96.77625368619856
rbf_svm,RBF-SVM,impulsive_noise,0.0909090909090909,80.03992015968063,0.0151515151515151,96.77625368619856
iq_cnn,Raw-IQ CNN,low_snr,0.094090909090909,75.03015681544028,0.0214806052320646,93.94817233930551
iq_cnn,Raw-IQ CNN,narrowband_jam,0.0886363636363636,76.4776839565742,0.0235238062856788,93.37253210389146
iq_cnn,Raw-IQ CNN,broadband_jam,0.1727272727272727,54.16164053075996,0.1202894901945133,66.11030014352984
iq_cnn,Raw-IQ CNN,frequency_offset,0.0922727272727272,75.51266586248492,0.0290064343069295,91.82788661770304
iq_cnn,Raw-IQ CNN,multipath,0.1281818181818181,65.98311218335344,0.0433265430221951,87.79341789156896
iq_cnn,Raw-IQ CNN,impulsive_noise,0.0922727272727272,75.51266586248492,0.0206952674255418,94.16942909669936
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,low_snr,0.0787878787878787,73.73737373737373,0.0468601277479316,83.55710360123287
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,narrowband_jam,0.1,66.66666666666666,0.0660449637638227,76.82527664733482
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,broadband_jam,0.0969696969696969,67.67676767676767,0.0674115539478025,76.3457495548005
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,frequency_offset,0.0757575757575757,74.74747474747475,0.041888665447926,85.3015555154293
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,multipath,0.0909090909090909,69.69696969696969,0.0616556762791811,78.36544742455919
simulated_quantum_feature_kernel_svm,Simulated QFM-Kernel SVM,impulsive_noise,0.0848484848484848,71.71717171717172,0.0581935202205267,79.58029416366847
