model,train_size_per_class,mean_accuracy,std_accuracy,mean_f1,std_f1,n_seeds
Logistic Regression,5,0.16333333333333333,0.02870165016549087,0.14124649483573604,0.03017339704112993,5
Logistic Regression,10,0.16208333333333333,0.01024864489687404,0.1452216474772064,0.013901094990599898,5
Logistic Regression,20,0.16916666666666666,0.013850641782162217,0.15556876001324416,0.0168665651891511,5
Logistic Regression,50,0.15541666666666668,0.02192949561156794,0.1443781437346992,0.01928664863230157,5
Logistic Regression,100,0.15,0.025216080076896262,0.14917408861134301,0.023829417086365882,5
Logistic Regression,200,0.14791666666666667,0.014052851628366708,0.14669050280203283,0.012596657787602559,5
QFM-Kernel SVM,5,0.12916666666666668,0.007365695637359872,0.1245763126804826,0.0073339677291921705,5
QFM-Kernel SVM,10,0.13291666666666666,0.009246808758821726,0.1306274728383683,0.008852959730504057,5
QFM-Kernel SVM,20,0.12250000000000001,0.020166408400550104,0.12094029811154028,0.0193077511411397,5
QFM-Kernel SVM,50,0.11833333333333333,0.012534674130409434,0.11701733716257234,0.012710040998805648,5
QFM-Kernel SVM,100,0.15,0.01223681262965701,0.14843819179839815,0.011430969464597684,5
QFM-Kernel SVM,200,0.15958333333333335,0.014328124053374497,0.15450530189067413,0.013045031754430402,5
RBF-SVM,5,0.16416666666666666,0.014834152599098246,0.12862683593979277,0.02835287835639271,5
RBF-SVM,10,0.18041666666666667,0.015907174307350905,0.1612688815822016,0.020994020820985244,5
RBF-SVM,20,0.19083333333333333,0.00853912563829966,0.1753151216284106,0.019199501944152826,5
RBF-SVM,50,0.22166666666666668,0.012723692903835382,0.2238913544848224,0.009575797978831119,5
RBF-SVM,100,0.26749999999999996,0.012022115038544591,0.2797934417355802,0.007125699673224912,5
RBF-SVM,200,0.3358333333333333,0.011160912696649055,0.34421689235638636,0.013650936898137882,5
Random Forest,5,0.1525,0.016496527412357624,0.14355306175750632,0.015208528790695274,5
Random Forest,10,0.17791666666666667,0.023962861890851023,0.1750883996034483,0.0254794949664781,5
Random Forest,20,0.19791666666666669,0.010622957319984966,0.196336506881457,0.010900123925637401,5
Random Forest,50,0.25083333333333335,0.01440365501453633,0.24846372883132642,0.014002167513414031,5
Random Forest,100,0.3070833333333333,0.017217461259495324,0.3064323463457376,0.017219788270062472,5
Random Forest,200,0.32958333333333334,0.018715245567896412,0.3321489135117646,0.022895674547936586,5
