model,condition,accuracy,macro_f1
logistic_regression,heldout_clean,0.425,0.41363315986477756
logistic_regression,clean,0.5833333333333334,0.5756717288934615
logistic_regression,low_snr,0.22083333333333333,0.23272513736923953
logistic_regression,narrowband_jam,0.3104166666666667,0.24984571676959286
logistic_regression,broadband_jam,0.34375,0.34044961802245854
logistic_regression,frequency_offset,0.42916666666666664,0.41928958232822827
logistic_regression,multipath,0.40208333333333335,0.37960185672677227
logistic_regression,impulsive_noise,0.28958333333333336,0.23899040236249539
random_forest,heldout_clean,0.43333333333333335,0.4409084112417677
random_forest,clean,0.8583333333333333,0.8589953031758284
random_forest,low_snr,0.2708333333333333,0.26194218499689526
random_forest,narrowband_jam,0.18333333333333332,0.09864181913765044
random_forest,broadband_jam,0.325,0.32222253510950694
random_forest,frequency_offset,0.4166666666666667,0.40628702508648873
random_forest,multipath,0.3770833333333333,0.3366469776624537
random_forest,impulsive_noise,0.28541666666666665,0.2103741404934648
rbf_svm,heldout_clean,0.49166666666666664,0.49498774186274186
rbf_svm,clean,0.7125,0.7120452995554071
rbf_svm,low_snr,0.19583333333333333,0.18446609858570998
rbf_svm,narrowband_jam,0.20625,0.14387002792176337
rbf_svm,broadband_jam,0.29583333333333334,0.295559492860728
rbf_svm,frequency_offset,0.43333333333333335,0.4208345914066506
rbf_svm,multipath,0.39375,0.3651599403211118
rbf_svm,impulsive_noise,0.3020833333333333,0.2338556145466662
