epoch,train_loss,model,condition,examples,accuracy,macro_f1
1,1.4435092957005355,iq_cnn,heldout_clean,55000,0.4260909090909091,0.40683123546853645
2,1.2552975870305842,iq_cnn,heldout_clean,55000,0.45083636363636365,0.45580281894837626
3,1.2244430333050815,iq_cnn,heldout_clean,55000,0.46696363636363636,0.47653281605826164
4,1.2059608942609845,iq_cnn,heldout_clean,55000,0.46736363636363637,0.4740686341306557
5,1.1951515449119336,iq_cnn,heldout_clean,55000,0.3290727272727273,0.2944681945474418
6,1.1867768913847028,iq_cnn,heldout_clean,55000,0.5114181818181818,0.5047269941819935
7,1.1828818791765154,iq_cnn,heldout_clean,55000,0.49732727272727273,0.49946016767731827
8,1.1772583577589555,iq_cnn,heldout_clean,55000,0.5271090909090909,0.5403875624993693
9,1.1718840493115512,iq_cnn,heldout_clean,55000,0.453,0.44513962091936565
10,1.1675931310769283,iq_cnn,heldout_clean,55000,0.2716909090909091,0.22389631843986416
11,1.1629229406530206,iq_cnn,heldout_clean,55000,0.5297272727272727,0.5417391116592891
12,1.1600124671242453,iq_cnn,heldout_clean,55000,0.5225454545454545,0.5320306890666093
13,1.156406430643255,iq_cnn,heldout_clean,55000,0.4713272727272727,0.4642817677653357
14,1.1541679724144214,iq_cnn,heldout_clean,55000,0.5209818181818182,0.5313775280187113
15,1.1497620981852215,iq_cnn,heldout_clean,55000,0.5247272727272727,0.5290580028432844
16,1.1466897252169523,iq_cnn,heldout_clean,55000,0.4475636363636364,0.4245390975943154
17,1.1428781926357385,iq_cnn,heldout_clean,55000,0.5201272727272728,0.5155038775454356
18,1.140204708408587,iq_cnn,heldout_clean,55000,0.5244909090909091,0.5235577040472281
19,1.1367065278082182,iq_cnn,heldout_clean,55000,0.5403818181818182,0.561291482795616
20,1.1335629013755104,iq_cnn,heldout_clean,55000,0.4999090909090909,0.4839326920506961
21,1.130685647351814,iq_cnn,heldout_clean,55000,0.5379272727272727,0.5382256785140052
22,1.1280671713395551,iq_cnn,heldout_clean,55000,0.5338,0.5493901719469884
23,1.1256676803299874,iq_cnn,heldout_clean,55000,0.5585636363636364,0.5736458833316886
24,1.1225366192499797,iq_cnn,heldout_clean,55000,0.5432727272727272,0.5572348212673011
25,1.1178557423418218,iq_cnn,heldout_clean,55000,0.47756363636363636,0.47850993309639983
26,1.1161775546449604,iq_cnn,heldout_clean,55000,0.5282545454545454,0.5264985866639259
27,1.1159519526626125,iq_cnn,heldout_clean,55000,0.3805090909090909,0.38266262057583095
28,1.1121827153148074,iq_cnn,heldout_clean,55000,0.4910181818181818,0.48522608855488353
29,1.1096527710018735,iq_cnn,heldout_clean,55000,0.5502363636363636,0.5606288054022435
30,1.1071464702028218,iq_cnn,heldout_clean,55000,0.5210181818181818,0.5222584688144948
31,1.104984578745293,iq_cnn,heldout_clean,55000,0.4657454545454545,0.4413524801699111
32,1.1027288746689305,iq_cnn,heldout_clean,55000,0.5447272727272727,0.5576325569275854
33,1.0993952742316506,iq_cnn,heldout_clean,55000,0.4348181818181818,0.42046658068035825
34,1.0975583442919181,iq_cnn,heldout_clean,55000,0.5078909090909091,0.5235691810311324
35,1.0958647509256998,iq_cnn,heldout_clean,55000,0.5508363636363637,0.5612640999504718
36,1.092841579801386,iq_cnn,heldout_clean,55000,0.4602727272727273,0.46827612791518886
37,1.09123999747074,iq_cnn,heldout_clean,55000,0.5210727272727272,0.5348461238626875
38,1.0903935666170987,iq_cnn,heldout_clean,55000,0.34898181818181817,0.3350055325668817
39,1.0878209806355563,iq_cnn,heldout_clean,55000,0.5119454545454546,0.5176600337619631
40,1.0859754798195578,iq_cnn,heldout_clean,55000,0.507,0.5161526273147946
